1,1,[-1,1],[2],2,1//12
1,1,[-1,1],[2],16,1
1,1,[-1,1],[2],8,1//3
1,1,[-1,1],[2],4,1//4
1,1,[-1,1],[2],32,2
1,1,[-1,1],[2],8,1//2
1,1,[-1,1],[2],64,4
1,1,[-1,1],[2],16,1
1,1,[-1,1],[2],16,1
1,1,[-1,1],[2],32,2
1,1,[-1,1],[2],6,1//3
1,1,[-1,1],[2],54,2
1,1,[-1,1],[2],18,1
1,1,[-1,1],[2],18,1//2
1,1,[-1,1],[2],18,2//3
1,1,[-1,1],[2],54,2
1,1,[-1,1],[2],12,1
1,1,[-1,1],[2],36,2
1,1,[-1,1],[2],10,1//2
1,1,[-1,1],[2],50,2
1,1,[-1,1],[2],22,1
1,1,[-1,1],[3],3,1//6
1,1,[-1,1],[3],6,1//2
1,1,[-1,1],[3],24,1
1,1,[-1,1],[3],12,1
1,1,[-1,1],[3],12,1//3
1,1,[-1,1],[3],12,1//2
1,1,[-1,1],[3],48,2
1,1,[-1,1],[3],9,2//3
1,1,[-1,1],[3],27,2
1,1,[-1,1],[3],27,2
1,1,[-1,1],[3],18,2
1,1,[-1,1],[3],36,2
1,1,[-1,1],[5],5,1//3
1,1,[-1,1],[5],10,1
1,1,[-1,1],[5],20,1
1,1,[-1,1],[5],25,2
1,1,[-1,1],[7],7,1//2
1,1,[-1,1],[7],28,1
1,1,[-1,1],[13],13,1
2,5,[-1,-1,1],[],1,1//60
2,5,[-1,-1,1],[],4,1//12
2,5,[-1,-1,1],[],64,1
2,5,[-1,-1,1],[],16,1//3
2,5,[-1,-1,1],[],16,1//5
2,5,[-1,-1,1],[],16,1//4
2,5,[-1,-1,1],[],256,4
2,5,[-1,-1,1],[],5,1//10
2,5,[-1,-1,1],[],125,2
2,5,[-1,-1,1],[],25,1//3
2,5,[-1,-1,1],[],25,1//2
2,5,[-1,-1,1],[],25,2//5
2,5,[-1,-1,1],[],125,2
2,5,[-1,-1,1],[],125,2
2,5,[-1,-1,1],[],20,1//2
2,5,[-1,-1,1],[],100,2
2,5,[-1,-1,1],[],9,1//6
2,5,[-1,-1,1],[],11,1//5
2,5,[-1,-1,1],[],121,2
2,5,[-1,-1,1],[],44,1
2,5,[-1,-1,1],[],11,1//5
2,5,[-1,-1,1],[],121,2
2,5,[-1,-1,1],[],44,1
2,5,[-1,-1,1],[],19,1//3
2,5,[-1,-1,1],[],19,1//3
2,5,[-1,-1,1],[],29,1//2
2,5,[-1,-1,1],[],29,1//2
2,5,[-1,-1,1],[],59,1
2,5,[-1,-1,1],[],59,1
2,5,[-1,-1,1],[4,5],20,1//5
2,5,[-1,-1,1],[4,5],80,1
2,5,[-1,-1,1],[4,11],44,1//2
2,5,[-1,-1,1],[4,11],44,1//2
2,8,[-2,0,1],[],1,1//24
2,8,[-2,0,1],[],2,1//8
2,8,[-2,0,1],[],8,1//4
2,8,[-2,0,1],[],4,1//4
2,8,[-2,0,1],[],4,1//12
2,8,[-2,0,1],[],16,1//2
2,8,[-2,0,1],[],8,1//2
2,8,[-2,0,1],[],4,1//8
2,8,[-2,0,1],[],64,2
2,8,[-2,0,1],[],16,1//2
2,8,[-2,0,1],[],16,1//2
2,8,[-2,0,1],[],32,1
2,8,[-2,0,1],[],16,1
2,8,[-2,0,1],[],32,1
2,8,[-2,0,1],[],16,1//3
2,8,[-2,0,1],[],32,1
2,8,[-2,0,1],[],8,1//4
2,8,[-2,0,1],[],64,2
2,8,[-2,0,1],[],64,2
2,8,[-2,0,1],[],16,1//2
2,8,[-2,0,1],[],16,1//2
2,8,[-2,0,1],[],32,1
2,8,[-2,0,1],[],7,1//3
2,8,[-2,0,1],[],49,2
2,8,[-2,0,1],[],14,1
2,8,[-2,0,1],[],28,1
2,8,[-2,0,1],[],7,1//3
2,8,[-2,0,1],[],49,2
2,8,[-2,0,1],[],14,1
2,8,[-2,0,1],[],28,1
2,8,[-2,0,1],[],23,1
2,8,[-2,0,1],[],23,1
2,8,[-2,0,1],[2,7],14,1//4
2,8,[-2,0,1],[2,7],14,1//4
2,8,[-2,0,1],[2,9],18,1//3
2,8,[-2,0,1],[2,9],36,1
2,8,[-2,0,1],[2,25],50,1
2,12,[-3,0,1],[],1,1//12
2,12,[-3,0,1],[],2,1//4
2,12,[-3,0,1],[],8,1//2
2,12,[-3,0,1],[],4,1//2
2,12,[-3,0,1],[],4,1//6
2,12,[-3,0,1],[],16,1
2,12,[-3,0,1],[],8,1
2,12,[-3,0,1],[],4,1//4
2,12,[-3,0,1],[],16,1
2,12,[-3,0,1],[],32,2
2,12,[-3,0,1],[],8,1//2
2,12,[-3,0,1],[],16,1
2,12,[-3,0,1],[],32,2
2,12,[-3,0,1],[],32,2
2,12,[-3,0,1],[],3,1//3
2,12,[-3,0,1],[],9,2//3
2,12,[-3,0,1],[],27,2
2,12,[-3,0,1],[],27,2
2,12,[-3,0,1],[],6,1
2,12,[-3,0,1],[],18,2
2,12,[-3,0,1],[],24,2
2,12,[-3,0,1],[],12,2
2,12,[-3,0,1],[],12,2//3
2,12,[-3,0,1],[],12,1
2,12,[-3,0,1],[],36,2
2,12,[-3,0,1],[],11,1
2,12,[-3,0,1],[],44,2
2,12,[-3,0,1],[],11,1
2,12,[-3,0,1],[],44,2
2,12,[-3,0,1],[],23,2
2,12,[-3,0,1],[],23,2
2,12,[-3,0,1],[],1,1//12
2,12,[-3,0,1],[],8,1//2
2,12,[-3,0,1],[],4,1//2
2,12,[-3,0,1],[],4,1//6
2,12,[-3,0,1],[],16,1
2,12,[-3,0,1],[],32,2
2,12,[-3,0,1],[],16,2
2,12,[-3,0,1],[],32,2
2,12,[-3,0,1],[],16,2//3
2,12,[-3,0,1],[],27,2
2,12,[-3,0,1],[],9,1
2,12,[-3,0,1],[],9,1//2
2,12,[-3,0,1],[],36,1
2,12,[-3,0,1],[],36,2
2,12,[-3,0,1],[2,3],6,1//6
2,12,[-3,0,1],[2,3],12,1//2
2,12,[-3,0,1],[2,3],18,2//3
2,12,[-3,0,1],[2,3],36,2
2,12,[-3,0,1],[2,3],66,2
2,12,[-3,0,1],[2,3],66,2
2,12,[-3,0,1],[2,13],26,1
2,12,[-3,0,1],[2,13],26,1
2,12,[-3,0,1],[3,13],39,2
2,12,[-3,0,1],[3,13],39,2
2,12,[-3,0,1],[2,25],50,2
2,13,[-3,-1,1],[],1,1//12
2,13,[-3,-1,1],[],3,1//3
2,13,[-3,-1,1],[],27,2
2,13,[-3,-1,1],[],9,1
2,13,[-3,-1,1],[],9,1//2
2,13,[-3,-1,1],[],9,2//3
2,13,[-3,-1,1],[],27,2
2,13,[-3,-1,1],[],3,1//3
2,13,[-3,-1,1],[],27,2
2,13,[-3,-1,1],[],9,1
2,13,[-3,-1,1],[],9,1//2
2,13,[-3,-1,1],[],9,2//3
2,13,[-3,-1,1],[],27,2
2,13,[-3,-1,1],[],16,1
2,13,[-3,-1,1],[3,4],12,1//2
2,13,[-3,-1,1],[3,4],36,2
2,13,[-3,-1,1],[3,4],12,1//2
2,13,[-3,-1,1],[3,4],36,2
2,17,[-4,-1,1],[],1,1//6
2,17,[-4,-1,1],[],2,1//2
2,17,[-4,-1,1],[],8,1
2,17,[-4,-1,1],[],4,1
2,17,[-4,-1,1],[],4,1//3
2,17,[-4,-1,1],[],4,1//2
2,17,[-4,-1,1],[],16,2
2,17,[-4,-1,1],[],2,1//2
2,17,[-4,-1,1],[],8,1
2,17,[-4,-1,1],[],4,1//3
2,17,[-4,-1,1],[],4,1
2,17,[-4,-1,1],[],4,1//2
2,17,[-4,-1,1],[],16,2
2,17,[-4,-1,1],[],8,1
2,17,[-4,-1,1],[],8,1
2,17,[-4,-1,1],[],16,1
2,17,[-4,-1,1],[],16,1
2,21,[-5,-1,1],[],1,1//6
2,21,[-5,-1,1],[],3,2//3
2,21,[-5,-1,1],[],27,4
2,21,[-5,-1,1],[],9,2
2,21,[-5,-1,1],[],9,1
2,21,[-5,-1,1],[],9,4//3
2,21,[-5,-1,1],[],27,4
2,21,[-5,-1,1],[],27,4
2,21,[-5,-1,1],[],16,2
2,21,[-5,-1,1],[],5,1
2,21,[-5,-1,1],[],5,1
2,21,[-5,-1,1],[],1,1//6
2,21,[-5,-1,1],[3,4],12,1
2,21,[-5,-1,1],[3,4],36,4
2,21,[-5,-1,1],[4,5],20,2
2,21,[-5,-1,1],[4,5],20,2
2,24,[-6,0,1],[],1,1//4
2,24,[-6,0,1],[],4,1//2
2,24,[-6,0,1],[],16,2
2,24,[-6,0,1],[],3,1
2,24,[-6,0,1],[],9,2
2,24,[-6,0,1],[2,3],6,1//2
2,24,[-6,0,1],[2,3],18,2
2,24,[-6,0,1],[3,5],15,2
2,24,[-6,0,1],[3,5],15,2
2,28,[-7,0,1],[],1,1//3
2,28,[-7,0,1],[],2,1
2,28,[-7,0,1],[],8,2
2,28,[-7,0,1],[],4,2//3
2,28,[-7,0,1],[],4,2
2,28,[-7,0,1],[],4,1
2,28,[-7,0,1],[],9,2
2,28,[-7,0,1],[],9,2
2,28,[-7,0,1],[2,3],6,2//3
2,28,[-7,0,1],[2,3],12,2
2,28,[-7,0,1],[2,3],6,2//3
2,28,[-7,0,1],[2,3],12,2
2,33,[-8,-1,1],[],1,1//2
2,33,[-8,-1,1],[],4,1
2,33,[-8,-1,1],[],4,1
2,33,[-8,-1,1],[],16,2
2,33,[-8,-1,1],[2,3],6,1
2,33,[-8,-1,1],[2,3],24,2
2,33,[-8,-1,1],[2,3],6,1
2,33,[-8,-1,1],[2,3],24,2
2,60,[-15,0,1],[],1,2
2,60,[-15,0,1],[],4,4
2,69,[-17,-1,1],[],1,1
3,49,[1,-2,-1,1],[7],7,1//14
3,49,[1,-2,-1,1],[8],8,1//12
3,49,[1,-2,-1,1],[13],13,1//7
3,49,[1,-2,-1,1],[13],13,1//7
3,49,[1,-2,-1,1],[13],13,1//7
3,49,[1,-2,-1,1],[29],29,1//3
3,49,[1,-2,-1,1],[29],29,1//3
3,49,[1,-2,-1,1],[29],29,1//3
3,49,[1,-2,-1,1],[43],43,1//2
3,49,[1,-2,-1,1],[43],43,1//2
3,49,[1,-2,-1,1],[43],43,1//2
3,81,[-1,-3,0,1],[3],3,1//18
3,81,[-1,-3,0,1],[3],9,2//9
3,81,[-1,-3,0,1],[3],27,2//3
3,81,[-1,-3,0,1],[3],27,2//3
3,81,[-1,-3,0,1],[3],24,1//2
3,81,[-1,-3,0,1],[3],72,2
3,81,[-1,-3,0,1],[19],19,1//2
3,81,[-1,-3,0,1],[19],19,1//2
3,81,[-1,-3,0,1],[19],19,1//2
3,81,[-1,-3,0,1],[37],37,1
3,81,[-1,-3,0,1],[37],37,1
3,81,[-1,-3,0,1],[37],37,1
3,148,[1,-3,-1,1],[2],2,1//12
3,148,[1,-3,-1,1],[2],4,1//4
3,148,[1,-3,-1,1],[2],10,1//2
3,148,[1,-3,-1,1],[2],50,2
3,148,[1,-3,-1,1],[5],5,1//3
3,148,[1,-3,-1,1],[5],10,1
3,148,[1,-3,-1,1],[5],20,1
3,148,[1,-3,-1,1],[5],25,2
3,148,[1,-3,-1,1],[13],13,1
3,169,[-1,-4,-1,1],[5],5,1//3
